CHASSIS,CHANNEL,CONNECTOR,SIGNAL,CUSTNAME,USE,DESC,COUPLING,EGU,ESLO,EOFF,LOLOlim,LOlim,HIlim,HIHIlim
1,1,DB2,1,01-DB2-01-0001,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,2,DB2,2,01-DB2-02-0002,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,3,DB2,3,01-DB2-03-0003,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,4,DB2,4,01-DB2-04-0004,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,5,DB2,5,01-DB2-05-0005,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,6,DB2,6,01-DB2-06-0006,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,7,DB2,7,01-DB2-07-0007,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,8,DB2,8,01-DB2-08-0008,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,9,DB2,9,01-DB2-09-0009,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,10,DB2,10,01-DB2-10-0010,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,11,DB2,11,01-DB2-11-0011,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,12,DB2,12,01-DB2-12-0012,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,13,DB2,13,01-DB2-13-0013,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,14,DB2,14,01-DB2-14-0014,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,15,DB2,15,01-DB2-15-0015,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,16,DB2,16,01-DB2-16-0016,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,17,DB1,17,01-DB1-17-0017,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,18,DB1,18,01-DB1-18-0018,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,19,DB1,19,01-DB1-19-0019,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
